set_up,obj_value,investments
"large, large, large, large",1.1136494757168162e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, large, small",1.1108094394807155e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, large",1.1136494757168162e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, small",1.1108094394807155e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, small, large, large",1.1046927039379156e9,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, large, small",1.1015216920045507e9,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, small, large",1.1046927039379156e9,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, small, small",1.1015216920045507e9,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"small, large, large, large",1.0481101415235595e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, large, large, small",1.0465256386012233e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, large, small, large",1.0481101415235595e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, large, small, small",1.0465256386012233e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, small, large, large",1.0481101415235595e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, small, large, small",1.0465256386012233e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, small, small, large",1.0481101415235595e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"small, small, small, small",1.0465256386012233e9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
